id,State_Group,State,Year,diabetic,Metformin,pancreas,diabetes,Insulin,cataract,glucose,Diabetes mellitus,Retinopathy,hypoglycemia,diabetes type 2,a1c,neuropathy,diabetes symptoms,Income,Insurance,Poverty,GT
0,A,AL,‘2016’,82,94,84,91,74,56,80,88,77,87,83,72,83,83,46257,9.1,17.1,14.6
1,A,AK,‘2016’,56,74,68,92,57,64,66,83,71,83,69,66,59,72,76440,14,9.9,7.5
2,A,AZ,‘2016’,70,77,82,94,69,61,83,86,73,78,83,73,76,85,53558,10,16.4,10.8
3,A,AR,‘2016’,84,84,80,92,75,51,82,86,59,89,81,71,79,85,44334,7.9,17.2,13.5
4,A,CA,‘2016’,53,54,73,82,60,54,77,76,76,59,75,56,54,69,67739,7.3,14.3,10.2
5,A,CO,‘2016’,47,53,70,76,61,55,71,66,45,65,73,59,61,69,65685,7.5,11,6.6
6,A,CT,‘2016’,59,68,79,90,73,57,84,80,83,77,84,60,76,74,73433,4.9,9.8,9.8
7,A,DE,‘2016’,69,68,70,90,68,54,87,90,44,71,91,56,68,86,61757,5.7,11.7,10.6
8,B,DC,‘2016’,50,60,62,81,54,37,60,69,48,62,54,56,48,67,75506,3.9,18.6,7.7
9,B,FL,‘2016’,63,73,83,82,67,59,73,79,71,68,71,56,69,64,50860,12.5,14.7,11.8
10,B,GA,‘2016’,67,80,73,84,64,47,73,77,73,68,77,69,58,78,53559,12.9,16,12.1
11,B,HI,‘2016’,52,65,71,92,61,62,83,78,85,62,71,51,44,85,74511,3.5,9.3,10.5
12,B,ID,‘2016’,57,77,77,86,75,58,82,78,64,76,94,55,63,73,51807,10.1,14.4,8.9
13,B,IL,‘2016’,56,64,75,83,61,51,74,76,68,65,74,54,62,77,60960,6.5,13,10.4
14,B,IN,‘2016’,73,75,87,92,85,100,93,86,66,82,95,72,62,80,52314,8.1,14.1,11.5
15,B,IA,‘2016’,62,59,81,91,68,51,88,79,75,65,88,69,61,79,56247,4.3,11.8,9.3
16,C,KS,‘2016’,62,68,67,84,70,50,78,76,64,85,70,59,68,83,54935,8.7,12.1,9.4
17,C,KY,‘2016’,84,90,85,94,83,61,89,90,86,87,80,72,77,88,46659,5.1,18.5,13.1
18,C,LA,‘2016’,75,88,71,84,72,52,80,83,69,87,76,64,74,75,45146,10.3,20.2,12.1
19,C,ME,‘2016’,66,62,85,94,73,55,80,84,90,73,87,70,75,77,53079,8,12.5,10.6
20,C,MD,‘2016’,64,67,76,96,69,50,88,86,83,65,82,70,65,71,78945,6.1,9.7,10.8
21,C,MA,‘2016’,52,58,77,86,69,58,81,73,83,67,77,51,61,68,75297,2.5,10.4,9.3
22,C,MI,‘2016’,67,70,79,82,69,50,80,78,77,79,76,58,66,78,52492,5.4,15,11.2
23,C,MN,‘2016’,57,60,78,89,75,55,84,79,86,75,90,66,74,86,65599,4.1,9.9,8.4
24,D,MS,‘2016’,95,89,86,100,78,47,100,97,80,83,86,71,71,95,41754,11.8,20.8,13.6
25,D,MO,‘2016’,74,74,83,90,80,53,86,84,78,93,87,72,83,80,51746,8.9,14,11.5
26,D,MT,‘2016’,63,67,74,89,70,61,75,77,39,78,96,61,70,85,50027,8.1,13.3,8.1
27,D,NE,‘2016’,59,58,82,91,68,45,79,80,84,74,68,54,57,90,56927,8.6,11.4,8.8
28,D,NV,‘2016’,65,63,66,80,60,47,70,74,78,60,74,51,56,78,55180,11.4,13.8,11.1
29,D,NH,‘2016’,59,55,78,86,67,64,75,75,51,60,61,59,78,78,70936,5.9,7.3,9
30,D,NJ,‘2016’,58,63,77,88,64,54,77,79,67,67,75,63,65,65,76126,8,10.4,9.2
31,D,NM,‘2016’,63,77,91,94,66,55,79,88,77,71,89,67,63,79,46748,9.2,19.8,11.6
32,E,NY,‘2016’,53,62,73,84,64,54,70,75,76,60,71,55,56,69,62909,6.1,14.7,10.5
33,E,NC,‘2016’,66,73,71,86,69,51,79,78,66,67,72,68,62,71,50584,10.4,15.4,11.3
34,E,ND,‘2016’,70,78,72,90,78,54,98,84,38,77,70,63,65,82,60656,7,10.7,8.6
35,E,OH,‘2016’,69,72,80,87,74,51,82,80,70,72,82,70,70,82,52334,5.6,14.6,11.1
36,E,OK,‘2016’,78,84,79,88,78,54,81,86,68,89,92,77,72,83,49176,13.8,16.3,12
37,E,OR,‘2016’,59,59,69,83,63,53,74,78,85,79,75,57,59,70,57532,6.2,13.3,9.5
38,E,PA,‘2016’,67,67,77,88,74,57,87,82,79,74,79,61,69,79,56907,5.6,12.9,11.3
39,E,RI,‘2016’,55,61,70,84,64,48,82,75,78,65,71,52,65,64,60596,4.3,12.8,9.8
40,F,SC,‘2016’,70,81,80,84,67,56,83,79,55,70,80,72,83,79,49501,10,15.3,13
41,F,SD,‘2016’,72,70,79,99,79,56,98,85,78,83,95,57,61,61,54467,8.7,13.3,7.9
42,F,TN,‘2016’,81,96,79,91,79,61,80,87,75,87,83,71,87,83,48547,9,15.8,12.7
43,F,TX,‘2016’,64,72,77,86,64,45,73,80,70,67,72,60,59,75,56565,16.6,15.6,11.2
44,F,UT,‘2016’,53,72,74,86,68,52,73,77,60,100,72,61,55,96,65977,8.8,10.2,7.2
45,F,VT,‘2016’,52,56,71,74,65,58,80,65,89,75,51,81,81,55,57677,3.7,11.9,8.4
46,F,VA,‘2016’,63,72,71,90,63,51,81,80,69,69,76,69,62,79,68114,8.7,11,10.4
47,F,WA,‘2016’,54,56,72,82,64,60,78,73,65,75,75,54,61,74,67106,6,11.3,9.4
48,G,WV,‘2016’,100,100,100,99,100,50,100,100,100,89,100,100,100,100,43385,5.3,17.9,15
49,G,WI,‘2016’,59,57,82,84,70,58,83,74,58,71,81,54,61,83,56811,5.3,11.8,9.8
50,G,WY,‘2016’,63,62,65,89,66,57,81,83,39,82,83,73,60,68,59882,11.5,11.3,8.3
51,A,AL,‘2015’,83,69,100,91,83,87,78,59,67,77,81,74,100,83,45182,10.1,18.5,13.5
52,A,AK,‘2015’,57,57,62,88,66,85,67,21,32,70,100,68,58,83,74165,14.9,10.3,7.6
53,A,AZ,‘2015’,67,63,80,87,75,87,76,45,64,61,76,69,78,77,52062,10.8,17.4,10.1
54,A,AR,‘2015’,85,69,84,90,78,70,73,46,50,100,72,48,84,95,42530,9.5,19.1,12.6
55,A,CA,‘2015’,51,43,69,75,62,70,67,38,56,54,62,56,55,68,65087,8.6,15.3,10
56,A,CO,‘2015’,51,53,65,75,69,75,66,26,42,75,72,69,64,72,64598,8.1,11.5,6.8
57,A,CT,‘2015’,58,50,77,86,75,96,76,45,62,57,76,58,75,73,72121,6,10.5,9.3
58,A,DE,‘2015’,57,56,52,89,74,76,68,53,64,45,81,86,67,71,61882,5.9,12.4,11.5
59,B,DC,‘2015’,49,46,58,76,57,59,59,35,27,50,65,57,48,87,75991,3.8,17.3,8.5
60,B,FL,‘2015’,64,65,84,80,73,91,68,55,61,59,67,62,73,68,49852,13.3,15.7,11.3
61,B,GA,‘2015’,65,63,69,78,63,64,61,38,47,65,69,59,61,73,51753,13.9,17,11.3
62,B,HI,‘2015’,42,43,74,80,63,100,62,49,40,65,91,66,44,70,74451,4,10.6,8.5
63,B,ID,‘2015’,66,77,75,91,77,83,75,52,22,77,72,52,74,82,48728,11,15.1,8.1
64,B,IL,‘2015’,55,51,65,78,64,67,68,33,58,63,73,52,60,72,60094,7.1,13.6,9.9
65,B,IN,‘2015’,66,68,79,94,99,85,88,52,79,72,87,90,72,89,50896,9.6,14.5,11.4
66,B,IA,‘2015’,59,55,82,89,77,72,73,49,55,58,91,70,56,80,55172,5,12.2,8.8
67,C,KS,‘2015’,49,53,56,70,63,59,57,43,60,69,53,46,45,53,54520,9.1,13,9.7
68,C,KY,‘2015’,82,82,74,91,91,82,73,54,70,78,81,79,88,86,45541,6,18.5,13.4
69,C,LA,‘2015’,70,75,80,82,80,79,75,54,49,89,74,69,72,76,46106,11.9,19.6,12.7
70,C,ME,‘2015’,63,60,96,96,88,97,74,57,66,53,83,64,81,100,52111,8.4,13.4,9.9
71,C,MD,‘2015’,59,58,67,93,76,84,83,53,76,72,76,71,63,69,76596,6.6,9.7,10.3
72,C,MA,‘2015’,50,50,80,85,74,74,72,38,84,61,68,58,68,63,71146,2.8,11.5,8.9
73,C,MI,‘2015’,65,61,76,79,75,77,71,42,52,75,71,53,61,69,51584,6.1,15.8,10.7
74,C,MN,‘2015’,56,56,72,84,79,83,81,49,79,67,77,57,71,79,64188,4.5,10.2,7.6
75,D,MS,‘2015’,81,79,89,100,89,82,79,60,45,82,82,88,71,78,40910,12.7,22,14.7
76,D,MO,‘2015’,73,68,78,89,85,78,74,42,76,83,80,77,85,82,50642,9.8,14.8,11.5
77,D,MT,‘2015’,58,58,42,85,74,84,79,45,54,73,79,66,90,96,49924,11.6,14.6,7.9
78,D,NE,‘2015’,60,55,83,86,73,70,70,40,51,61,65,64,58,81,55474,8.2,12.6,8.8
79,D,NV,‘2015’,61,55,69,83,66,76,58,50,56,72,75,49,61,83,53320,12.3,14.7,9.7
80,D,NH,‘2015’,42,54,78,79,76,75,77,37,100,66,59,75,58,67,70813,6.3,8.2,8.1
81,D,NJ,‘2015’,56,56,68,82,68,83,68,39,57,53,61,67,58,69,73242,8.7,10.8,9
82,D,NM,‘2015’,67,67,89,89,75,79,75,43,59,52,81,86,66,80,45710,10.9,20.4,11.5
83,E,NY,‘2015’,51,51,66,75,61,69,60,41,44,57,60,50,52,65,61311,7.1,15.4,9.8
84,E,NC,‘2015’,63,61,67,84,72,75,70,41,67,64,71,66,63,74,48420,11.2,16.4,10.7
85,E,ND,‘2015’,55,61,80,88,82,63,95,87,81,58,55,53,67,99,60944,7.8,11,8.7
86,E,OH,‘2015’,67,61,73,86,86,76,79,44,58,69,76,63,79,72,51610,6.5,14.8,11
87,E,OK,‘2015’,67,63,65,85,74,80,69,46,50,76,78,69,73,72,49062,13.9,16.1,11.7
88,E,OR,‘2015’,48,41,59,70,59,59,55,30,53,60,56,53,48,55,54748,7,15.4,10.7
89,E,PA,‘2015’,58,60,68,87,80,92,76,49,64,70,72,62,66,78,56207,6.4,13.2,10.4
90,E,RI,‘2015’,49,44,78,80,65,79,76,65,25,61,56,64,50,74,58826,5.7,13.9,9
91,F,SC,‘2015’,68,61,75,81,73,72,63,52,48,66,73,56,70,79,47790,10.9,16.6,11.8
92,F,SD,‘2015’,73,78,90,95,100,80,100,100,47,68,69,55,78,77,53746,10.2,13.7,9.3
93,F,TN,‘2015’,80,80,79,90,90,90,74,58,72,81,72,82,86,78,47818,10.3,16.7,12.7
94,F,TX,‘2015’,60,59,73,82,65,63,64,47,55,56,64,52,57,73,56139,17.1,15.9,11.4
95,F,UT,‘2015’,56,65,71,91,69,58,66,46,37,88,73,47,71,95,63794,10.5,11.3,7
96,F,VT,‘2015’,46,64,75,74,72,93,72,28,68,50,76,47,71,64,57565,3.8,10.2,8.2
